"","property_no","property_address","total rates","lv","cv","rate_yr","assessment_number","rate area (ha)","qv category","suburb"
"35495",16663,"32 Virginia Hts~WHANGANUI",4769.08,320000,720000,"25_26","1318511700",0.1024,"Residential","St Johns/Otamatea"
"35496",16665,"203 Great North Rd~WHANGANUI",4387.3,320000,520000,"25_26","1318503300",0.1113,"Residential","St Johns/Otamatea"
"35497",16666,"3 Riverbank Rd~WHANGANUI",3777.32,330000,1200000,"25_26","1299010800",0.1472,"Residential","Whanganui Rural"
"35498",16668,"5 Riverbank Rd~WHANGANUI",3616.08,335000,860000,"25_26","1299010801",0.1566,"Residential","Whanganui Rural"
"35499",16672,"148 Mosston Rd~WHANGANUI",3135.87,350000,850000,"25_26","1288069700",0.8579,"Residential","Whanganui Rural"
"35500",16673,"71 Montgomery Rd~WHANGANUI",3337.19,335000,670000,"25_26","1288065500",0.4629,"Residential","Whanganui Rural"
"35501",16674,"25 Wikitoria Rd~WHANGANUI",2451.89,190000,195000,"25_26","1308005700",0.0966,"Residential","Bastia/Durie Hills Putiki"
"35502",16675,"89 Putiki Dr~WHANGANUI",2831.93,310000,311000,"25_26","1308001500",1.2381,"Lifestyle","Bastia/Durie Hills Putiki"
"35503",16676,"93 Putiki Dr~WHANGANUI",4083.48,2e+05,7e+05,"25_26","1308001501",0.0809,"Residential","Bastia/Durie Hills Putiki"
"35504",16677,"219 Brunswick Rd~WHANGANUI",2351.42,310000,590000,"25_26","1288048700",1.1463,"Lifestyle","Whanganui Rural"
"35505",16679,"50 Papaiti Rd~WHANGANUI",3194.5,395000,1400000,"25_26","1288040300",1.2866,"Lifestyle","Whanganui Rural"
"35506",16682,"240 State Highway 3 North~WHANGANUI",4388.03,330000,590000,"25_26","1288031900",0.6792,"Industrial","Whanganui Rural"
"35507",16684,"8 Wicksteed Rd~WHANGANUI",3425.66,420000,980000,"25_26","1288027700",3.029,"Lifestyle","Whanganui Rural"
"35508",16693,"120 Marangai Rd~WHANGANUI",3232.49,9e+05,1115000,"25_26","1307017500",45.9318,"Pastoral","Whanganui Rural"
"35509",16694,"91 Holmwood Rd~WHANGANUI",2493.2,360000,7e+05,"25_26","1307013300",4.0469,"Lifestyle","Whanganui Rural"
"35510",16695,"71 Holmwood Rd~WHANGANUI",2845.27,330000,9e+05,"25_26","1307013301",3.5885,"Lifestyle","Whanganui Rural"
"35511",16696,"Hewitts Rd~WHANGANUI",328.94,107000,111000,"25_26","1307004900",5.1483,"Pastoral","Whanganui Rural"
"35512",16697,"67 Marybank Rd~WHANGANUI",3528.57,270000,950000,"25_26","1307000700",0.1864,"Residential","Whanganui Rural"
"35513",16698,"1204 State Highway 3 North~WHANGANUI",2455.99,4e+05,790000,"25_26","1282035300",5.322,"Lifestyle","Whanganui Rural"
"35514",16701,"16 Rangitatau West Rd~WHANGANUI",2605.94,230000,530000,"25_26","1282018500",0.4047,"Residential","Whanganui Rural"
"35515",16705,"Fields Trk~WHANGANUI",1175.66,151000,160500,"25_26","1295005000",16.802,"Pastoral","Whanganui Rural"
